time,x,y,z
1.846,-0.41,-1.25,0.96
1.851,-0.76,-1.45,1.49
1.856,-0.99,-1.70,1.77
1.861,-1.22,-1.95,2.09
1.866,-1.41,-2.07,2.14
1.871,-1.38,-2.15,2.16
1.880,-1.23,-2.21,1.99
1.882,-1.06,-2.27,1.79
1.888,-0.99,-2.23,1.43
1.892,-0.85,-2.21,1.13
1.896,-0.68,-2.13,0.67
1.901,-0.57,-2.10,0.08
1.906,-0.44,-1.95,-0.39
1.911,-0.29,-1.76,-0.74
1.916,-0.21,-1.57,-0.78
1.921,-0.19,-1.52,-0.78
1.926,-0.12,-1.47,-0.53
1.931,-0.21,-1.42,-0.22
1.936,-0.05,-1.24,0.13
1.941,-0.54,-1.69,0.56
1.947,-0.75,-2.00,0.61
1.951,-0.53,-1.87,1.01
1.957,-0.37,-1.75,1.37
1.961,-0.34,-1.90,1.35
1.966,-0.31,-1.84,1.29
1.971,-0.34,-1.70,1.23
1.977,-0.41,-1.69,1.10
1.981,-0.49,-1.67,0.70
1.986,-0.45,-1.58,0.21
1.991,-0.37,-1.49,-0.30
1.996,-0.19,-1.37,-0.75
2.002,-0.12,-1.34,-1.21
2.006,0.01,-1.19,-1.58
2.012,-0.11,-0.87,-1.49
2.017,-0.16,-0.97,-2.20
2.021,-0.14,-0.87,-2.43
2.031,0.04,-0.60,-2.29
2.032,0.07,-0.52,-2.14
2.036,0.08,-0.62,-2.24
2.042,0.15,-0.58,-2.33
2.046,0.14,-0.47,-2.16
2.052,0.12,-0.28,-2.12
2.056,0.18,-0.28,-2.13
2.062,0.15,-0.20,-2.25
2.066,0.14,-0.04,-2.07
2.071,0.02,0.04,-1.87
2.077,-0.02,0.03,-1.82
2.081,-0.00,0.05,-1.75
2.086,0.08,0.11,-1.68
2.092,0.13,0.13,-1.72
2.097,0.28,0.19,-1.76
2.102,0.47,0.22,-1.77
2.107,0.54,0.23,-1.66
2.112,0.52,0.20,-1.50
2.117,0.50,0.13,-1.30
2.124,0.48,0.08,-1.14
2.127,0.41,0.07,-0.98
2.132,0.32,0.12,-0.84
2.137,0.21,0.06,-0.77
2.143,0.14,-0.02,-0.72
2.148,-0.00,-0.06,-0.78
2.154,-0.04,-0.13,-0.72
2.160,-0.08,-0.14,-0.64
2.164,-0.16,-0.24,-0.40
2.167,-0.26,-0.32,-0.33
2.172,-0.28,-0.33,-0.17
2.177,-0.36,-0.39,-0.07
2.182,-0.43,-0.41,-0.06
2.187,-0.44,-0.39,-0.07
2.192,-0.35,-0.30,-0.05
2.197,-0.24,-0.16,-0.02
2.202,-0.09,-0.07,0.09
2.207,0.10,-0.01,0.05
2.213,0.29,0.12,-0.04
2.217,0.44,0.23,-0.23
2.225,0.59,0.35,-0.58
2.227,0.57,0.41,-0.80
2.232,0.50,0.50,-0.89
2.237,0.50,0.54,-0.90
2.242,0.53,0.60,-0.77
2.247,0.58,0.64,-0.87
2.252,0.64,0.64,-0.75
2.257,0.60,0.60,-0.65
2.262,0.49,0.55,-0.42
2.267,0.40,0.46,-0.21
2.272,0.36,0.35,-0.09
2.278,0.31,0.29,-0.07
2.282,0.32,0.24,0.05
2.288,0.24,0.14,0.20
2.292,0.24,0.15,0.34
2.300,0.20,0.07,0.57
2.306,0.18,0.07,0.90
2.307,0.09,0.01,1.15
2.313,-0.02,-0.01,1.38
2.317,-0.05,-0.10,1.51
2.323,-0.17,0.14,1.94
2.328,-0.42,-0.39,1.54
2.333,-0.28,-0.30,1.51
2.338,-0.28,-0.31,1.65
2.342,-0.17,-0.39,1.77
2.349,-0.21,-0.71,1.88
2.353,0.06,-0.79,1.47
2.358,0.13,-0.46,1.43
2.363,-0.26,-0.41,1.42
2.368,-0.48,-0.49,1.37
2.373,-0.40,-0.32,1.16
2.378,-0.28,-0.18,0.89
2.383,-0.07,-0.11,0.38
2.388,0.20,-0.03,-0.08
2.393,0.45,0.04,-0.27
2.400,0.69,0.13,-0.47
2.403,0.74,0.15,-0.40
2.408,0.62,0.17,-0.31
2.413,0.45,0.07,-0.16
2.418,0.12,-0.26,0.20
2.423,-0.19,-0.63,0.77
2.428,-0.47,-0.93,1.27
2.438,-0.68,-1.20,2.10
2.439,-0.85,-1.41,2.71
2.447,-1.04,-1.64,3.35
2.448,-1.04,-1.82,3.71
2.453,-0.99,-1.98,3.86
2.458,-0.96,-2.11,3.70
2.463,-0.89,-2.23,3.35
2.468,-0.81,-2.26,2.71
2.473,-0.69,-2.26,2.17
2.478,-0.55,-2.11,1.63
2.484,-0.33,-2.06,1.11
2.488,-0.22,-1.79,0.60
2.493,-0.13,-1.53,-0.00
2.498,-0.09,-1.29,-0.63
2.503,-0.09,-1.01,-1.18
2.508,-0.08,-0.81,-1.72
2.514,-0.08,-0.62,-2.16
2.518,0.01,-0.52,-2.30
2.524,0.21,-0.36,-2.51
2.528,0.30,-0.24,-2.42
